Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
327,2032,2032.000,102,482,6181,4932,6418,6569,8109,25785,36791
328,2323,2323.000,103,465,6043,4305,6343,6518,6616,8220,9624
329,2300,2300.000,104,426,6112,4341,6364,6524,6621,7996,9770
330,2236,2236.000,104,451,6195,4471,6364,6571,6676,9166,9615
331,2258,2258.000,115,438,6122,4426,6318,6509,6613,8212,10321
332,1986,1986.000,103,433,6275,5037,6554,6759,8209,33172,43277
333,1895,1895.000,117,449,6382,5304,6641,9813,12724,17487,19850
334,1451,1451.000,111,471,7012,6852,11036,12592,13809,16993,18196
335,2350,2350.000,105,451,6055,4255,6453,6650,6764,8635,9593
336,2181,2181.000,99,479,6140,4572,6304,6749,8035,11600,13430
337,2276,2276.000,97,487,6054,4404,6278,6524,7226,10167,17333
338,2332,2332.000,109,524,5900,4290,6144,6223,6306,7921,9140
339,2343,2343.000,100,514,5866,4255,6144,6226,6269,7742,9259
340,2348,2348.000,105,528,5908,4253,6165,6256,6304,7675,9149
341,2379,2379.000,89,514,5800,4202,6158,6269,6388,9238,10072
342,2307,2307.000,109,510,6034,4333,6296,6465,6550,7973,9597
343,2280,2280.000,105,510,6046,4396,6279,6431,6533,7816,9751
344,2305,2305.000,106,493,5992,4337,6182,6358,6471,9146,10521
345,2324,2324.000,109,471,5978,4289,6200,6369,6439,7930,9491
346,2301,2301.000,96,469,6060,4358,6269,6633,6733,8327,9464
347,2345,2345.000,95,454,5945,4267,6267,6384,6441,9129,10239
348,2334,2334.000,97,497,5970,4274,6295,6379,6443,7873,9497
349,2257,2257.000,103,515,6166,4435,6415,6655,6799,8467,11799
350,2122,2122.000,101,519,6487,4705,6658,6768,6852,8514,9982
351,2404,2404.000,96,478,5246,4163,6476,6597,6670,9509,11728
352,2217,2217.000,113,503,5384,4508,6263,6553,6779,20561,21418
353,2218,2218.000,97,486,6221,4510,6446,6540,6638,8121,9648
354,2262,2262.000,104,490,6104,4414,6369,6530,6696,9418,10446
355,1475,1475.000,91,496,6263,6789,9645,13355,16850,31560,38118
356,1690,1690.000,98,512,6511,5891,9295,11299,13215,17981,18338
357,2222,2222.000,107,522,6218,4517,6464,6611,6663,8176,9555
358,2061,2061.000,133,509,6304,4831,6527,7010,9635,12210,18537
359,2173,2173.000,112,504,6328,4613,6564,6750,7030,8365,9721
360,2134,2134.000,107,505,6476,4679,6679,6840,6937,8578,10150
361,2189,2189.000,96,486,6378,4567,6617,6783,6873,9755,10558
362,2267,2267.000,109,497,6150,4406,6487,6637,6784,8413,9385
363,2233,2233.000,112,477,6012,4478,6283,6486,6669,11987,18140
364,2331,2331.000,102,479,5927,4295,6211,6385,6484,9182,10226
365,2329,2329.000,98,482,5824,4289,6090,6216,6337,10060,11628
366,2403,2403.000,91,456,5822,4164,6115,6238,6332,7796,9239
367,2318,2318.000,93,472,5979,4312,6256,6387,6584,9052,12081
368,2313,2313.000,100,478,5999,4323,6261,6436,6569,7932,10456
369,2317,2317.000,110,489,5976,4306,6217,6402,6496,7932,9306
370,2396,2396.000,98,439,5863,4175,6173,6338,6441,7756,9361
371,2301,2301.000,90,478,5973,4351,6160,6309,6460,9087,10150
372,2353,2353.000,98,457,5910,4237,6193,6337,6435,8012,10422
373,2339,2339.000,99,472,6020,4293,6288,6466,6566,8021,9464
374,2254,2254.000,102,494,6105,4425,6325,6522,6654,8297,10242
375,2251,2251.000,126,496,6167,4444,6358,6618,6749,8203,9724
376,2149,2149.000,105,488,6473,4646,6665,6829,7026,8684,9886
377,1427,1427.000,114,488,6607,7032,10344,14524,17738,28554,41349
378,1790,1790.000,110,492,6199,5562,8979,10932,12064,15167,17905
379,2374,2374.000,94,479,5892,4215,6245,6328,6380,7923,9624
380,2169,2169.000,112,510,6145,4613,6407,6703,8288,11028,12750
381,2244,2244.000,96,496,6110,4452,6360,6499,6893,9356,10311
382,2281,2281.000,88,500,6108,4376,6329,6434,6520,7871,9467
