Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,DeleteEmployee,1722222852.347165,1364,0,1
1,InsertPosition,1722222852.348531,608,0,1
1,InsertPosition,1722222852.349141,616,0,1
2,UpdatePosition,1722222852.349758,780,0,1
2,UpdatePosition,1722222852.350540,719,0,1
2,UpdatePosition,1722222852.351262,613,0,1
3,UpdateEmployee,1722222852.351877,669,0,1
3,UpdateEmployee,1722222852.352548,665,0,1
2,UpdatePosition,1722222852.353215,742,0,1
3,UpdateEmployee,1722222852.353959,682,0,1
1,InsertPosition,1722222852.354643,609,0,1
3,UpdateEmployee,1722222852.355254,639,0,1
1,InsertPosition,1722222852.355895,598,0,1
4,DeleteEmployee,1722222852.356495,1482,0,1
1,InsertPosition,1722222852.357979,606,0,1
4,DeleteEmployee,1722222852.358587,1438,0,1
2,UpdatePosition,1722222852.360026,643,0,1
2,UpdatePosition,1722222852.360672,787,0,1
3,UpdateEmployee,1722222852.361461,645,0,1
1,InsertPosition,1722222852.362108,608,0,1
3,UpdateEmployee,1722222852.362718,663,0,1
2,UpdatePosition,1722222852.363383,697,0,1
3,UpdateEmployee,1722222852.364082,697,0,1
3,UpdateEmployee,1722222852.364781,655,0,1
2,UpdatePosition,1722222852.365438,904,0,1
3,UpdateEmployee,1722222852.366345,651,0,1
2,UpdatePosition,1722222852.366997,705,0,1
4,DeleteEmployee,1722222852.367704,1361,0,1
2,UpdatePosition,1722222852.369070,718,0,1
3,UpdateEmployee,1722222852.369790,668,0,1
2,UpdatePosition,1722222852.370460,692,0,1
3,UpdateEmployee,1722222852.371154,715,0,1
2,UpdatePosition,1722222852.371871,669,0,1
3,UpdateEmployee,1722222852.372542,688,0,1
2,UpdatePosition,1722222852.373233,754,0,1
1,InsertPosition,1722222852.373989,611,0,1
1,InsertPosition,1722222852.374602,637,0,1
3,UpdateEmployee,1722222852.375242,711,0,1
2,UpdatePosition,1722222852.375955,723,0,1
3,UpdateEmployee,1722222852.376680,659,0,1
2,UpdatePosition,1722222852.377341,697,0,1
3,UpdateEmployee,1722222852.378040,658,0,1
3,UpdateEmployee,1722222852.378699,661,0,1
2,UpdatePosition,1722222852.379363,723,0,1
2,UpdatePosition,1722222852.380088,848,0,1
4,DeleteEmployee,1722222852.380938,1581,0,1
1,InsertPosition,1722222852.382521,759,0,1
1,InsertPosition,1722222852.383282,658,0,1
3,UpdateEmployee,1722222852.383942,676,0,1
3,UpdateEmployee,1722222852.384620,760,0,1
3,UpdateEmployee,1722222852.385382,711,0,1
4,DeleteEmployee,1722222852.386095,1511,0,1
2,UpdatePosition,1722222852.387608,634,0,1
3,UpdateEmployee,1722222852.388244,625,0,1
4,DeleteEmployee,1722222852.388875,1480,0,1
1,InsertPosition,1722222852.390357,614,0,1
3,UpdateEmployee,1722222852.390973,648,0,1
1,InsertPosition,1722222852.391623,629,0,1
2,UpdatePosition,1722222852.392253,782,0,1
1,InsertPosition,1722222852.393037,601,0,1
3,UpdateEmployee,1722222852.393641,665,0,1
2,UpdatePosition,1722222852.394308,788,0,1
4,DeleteEmployee,1722222852.395098,1519,0,1
2,UpdatePosition,1722222852.396619,823,0,1
1,InsertPosition,1722222852.397448,665,0,1
1,InsertPosition,1722222852.398126,651,0,1
2,UpdatePosition,1722222852.398778,638,0,1
4,DeleteEmployee,1722222852.399418,1398,0,1
4,DeleteEmployee,1722222852.400819,1559,0,1
2,UpdatePosition,1722222852.402380,742,0,1
2,UpdatePosition,1722222852.403123,802,0,1
4,DeleteEmployee,1722222852.403927,1504,0,1
1,InsertPosition,1722222852.405433,645,0,1
3,UpdateEmployee,1722222852.406081,652,0,1
3,UpdateEmployee,1722222852.406735,718,0,1
3,UpdateEmployee,1722222852.407454,618,0,1
2,UpdatePosition,1722222852.408073,688,0,1
2,UpdatePosition,1722222852.439666,1166,0,1
4,DeleteEmployee,1722222852.440835,1626,0,1
1,InsertPosition,1722222852.442464,708,0,1
2,UpdatePosition,1722222852.443174,664,0,1
2,UpdatePosition,1722222852.443840,726,0,1
3,UpdateEmployee,1722222852.444568,697,0,1
2,UpdatePosition,1722222852.445270,727,0,1
4,DeleteEmployee,1722222852.445998,1492,0,1
3,UpdateEmployee,1722222852.447492,660,0,1
3,UpdateEmployee,1722222852.448156,701,0,1
2,UpdatePosition,1722222852.448859,1029,0,1
4,DeleteEmployee,1722222852.449890,1629,0,1
3,UpdateEmployee,1722222852.451520,807,0,1
3,UpdateEmployee,1722222852.452330,698,0,1
4,DeleteEmployee,1722222852.453030,1592,0,1
1,InsertPosition,1722222852.454624,711,0,1
3,UpdateEmployee,1722222852.455336,665,0,1
2,UpdatePosition,1722222852.456002,713,0,1
3,UpdateEmployee,1722222852.456717,654,0,1
2,UpdatePosition,1722222852.457372,708,0,1
1,InsertPosition,1722222852.458082,591,0,1
1,InsertPosition,1722222852.458676,580,0,1
1,InsertPosition,1722222852.459258,578,0,1
3,UpdateEmployee,1722222852.459837,634,0,1
3,UpdateEmployee,1722222852.460472,662,0,1
1,InsertPosition,1722222852.461136,575,0,1
3,UpdateEmployee,1722222852.461712,607,0,1
2,UpdatePosition,1722222852.462321,648,0,1
1,InsertPosition,1722222852.462973,607,0,1
3,UpdateEmployee,1722222852.463582,630,0,1
3,UpdateEmployee,1722222852.464213,610,0,1
2,UpdatePosition,1722222852.464825,756,0,1
4,DeleteEmployee,1722222852.465582,1463,0,1
3,UpdateEmployee,1722222852.467047,596,0,1
1,InsertPosition,1722222852.467645,596,0,1
3,UpdateEmployee,1722222852.468242,663,0,1
2,UpdatePosition,1722222852.468907,689,0,1
2,UpdatePosition,1722222852.469598,572,0,1
1,InsertPosition,1722222852.470172,605,0,1
2,UpdatePosition,1722222852.470779,727,0,1
3,UpdateEmployee,1722222852.471509,650,0,1
3,UpdateEmployee,1722222852.472160,640,0,1
1,InsertPosition,1722222852.472802,578,0,1
3,UpdateEmployee,1722222852.473382,595,0,1
2,UpdatePosition,1722222852.473978,745,0,1
2,UpdatePosition,1722222852.474725,750,0,1
4,DeleteEmployee,1722222852.475478,1629,0,1
3,UpdateEmployee,1722222852.477112,760,0,1
2,UpdatePosition,1722222852.477878,768,0,1
3,UpdateEmployee,1722222852.478649,679,0,1
3,UpdateEmployee,1722222852.479330,673,0,1
3,UpdateEmployee,1722222852.480004,641,0,1
2,UpdatePosition,1722222852.480648,684,0,1
2,UpdatePosition,1722222852.481334,635,0,1
1,InsertPosition,1722222852.481971,656,0,1
1,InsertPosition,1722222852.482628,658,0,1
1,InsertPosition,1722222852.483288,648,0,1
1,InsertPosition,1722222852.483938,678,0,1
3,UpdateEmployee,1722222852.484618,697,0,1
2,UpdatePosition,1722222852.485318,616,0,1
3,UpdateEmployee,1722222852.485937,675,0,1
3,UpdateEmployee,1722222852.486614,694,0,1
4,DeleteEmployee,1722222852.487310,1545,0,1
1,InsertPosition,1722222852.488856,634,0,1
1,InsertPosition,1722222852.489492,615,0,1
2,UpdatePosition,1722222852.490109,743,0,1
2,UpdatePosition,1722222852.490854,731,0,1
1,InsertPosition,1722222852.491587,603,0,1
4,DeleteEmployee,1722222852.492191,1525,0,1
